,LOG_LIQ,EDUC,LOG_INCOME,HHOUSES,AGE,FINLIT,EMERGSAV,KIDS,MARRIED,OCCAT1,YESFINRISK,LOG_DEBT,SPENDMOR,LATE,LOG_RET_ASSETS
345,8.987321812850125,10,11.73915841150484,1,37,1,0,3,1,1,0,11.892737666219704,1,1,8.987321812850125
350,12.59473402514672,14,12.195051453346123,1,63,3,1,0,2,2,0,12.10625783509458,4,0,12.921472880009725
355,5.707110264748875,6,10.076644749570697,0,58,2,1,0,2,3,0,0.0,1,0,5.707110264748875
360,10.020870508171171,12,11.821849494415464,1,38,2,1,0,1,1,0,12.429220196836383,5,0,11.956912324065804
365,10.736418414365376,9,10.482095840823943,1,80,3,1,0,2,3,0,0.0,3,0,12.955129822091815
370,13.171155446333852,12,15.534252282831947,1,71,3,1,0,1,1,0,16.204273438942487,4,0,18.56239730524952
375,5.8888779583328805,8,10.482095840823943,0,55,3,0,0,2,1,0,0.0,2,0,5.8888779583328805
380,8.863757191604241,8,11.190266672490848,0,51,2,0,0,2,1,0,9.259225769705994,4,0,12.969377685381849
385,10.322230781590136,8,11.367598443988374,1,47,2,1,1,1,1,0,11.80560254159177,4,0,12.558140493079444
390,8.160803920954665,12,10.974561423798537,1,73,2,1,0,2,1,0,12.280256686219182,5,0,13.821791789660372
395,8.987321812850125,9,10.511947979456522,1,72,1,1,0,1,3,0,0.0,5,0,9.392745258631441
400,11.552155793461898,12,13.324155957794543,1,55,3,1,0,2,2,0,13.122365377402328,3,0,15.449641278110677
405,6.55250788703459,13,10.31779779558084,0,55,2,0,0,2,2,0,11.561725152903833,2,0,11.9873007744816
