,NETWORTH,INCOME,FIN,NFIN,DEBT,EQUITY,STOCKS,HHOUSES,BUS,RETQLIQ,YESFINRISK,SPENDMOR,LATE,EMERGSAV,LIQ,FINLIT,AGE,EDUC,MARRIED,KIDS,OCCAT1,RET_ASSETS
18725,2170000.0,100524.7996,1647000,523000.0,0,1352000.0,1040000,1,0,312000,0,2,0,1,220000,3,68,7,1,0,3,1959000
18730,406132480.0,8754412.9509,387290000,18842480.0,0,308945000.0,307370000,1,0,3150000,0,4,0,1,370000,0,85,13,1,0,3,390440000
18735,2972000.0,406422.84569,1517000,3898000.0,2443000,1134763.4146,0,1,3093000,830000,0,4,0,1,59000,3,40,14,1,0,2,2347000
18740,2455000.0,611796.09218,1904000,886000.0,335000,274380.0,5000,1,0,1191000,0,5,0,1,230000,2,51,12,1,0,1,3095000
18745,-69800.0,118900.3006,17200,269000.0,356000,0.0,0,1,0,0,0,5,0,0,17200,3,28,12,1,1,1,17200
18750,3100.0,12970.941884,100,3000.0,0,0.0,0,0,0,0,0,1,0,0,100,2,50,5,2,0,1,100
18755,61.0,32427.354709,61,0.0,0,0.0,0,0,0,0,0,5,0,0,11,0,56,8,2,0,3,61
18760,18949000.0,421555.61122,16806000,2143000.0,0,14250000.0,1400000,1,0,3170000,1,5,0,1,900000,3,63,14,1,1,1,19976000
18765,208600.0,61611.973948,17600,395000.0,204000,6450.0,0,1,4000,8600,0,4,0,1,9000,3,71,6,1,0,1,26200
18770,1945430.0,89715.681363,1348030,798400.0,201000,545000.0,400000,1,8400,788000,0,3,0,1,110000,2,70,10,2,0,1,2136030
18775,15250.0,16213.677355,250,25000.0,10000,0.0,0,1,0,0,0,5,0,0,200,2,65,3,2,0,3,250
18780,19100.0,97282.064128,9600,22800.0,13300,1750.0,0,0,0,7000,0,4,0,0,2600,2,38,11,1,0,1,16600
18785,798800.0,303736.22244,418800,765000.0,385000,139000.0,11000,1,0,256000,0,3,0,1,151800,2,34,12,1,1,1,674800
18790,72800.0,89715.681363,28800,219600.0,175600,21000.0,0,1,0,11000,0,3,0,1,7800,2,33,12,1,0,1,39800
18795,172620.0,17294.589178,34920,137700.0,0,0.0,0,1,0,30000,0,4,0,0,920,2,86,9,2,0,3,64920
18800,-5250.0,75663.827655,18850,0.0,24100,0.0,0,0,0,0,0,1,0,0,18850,3,47,8,1,3,1,18850
18805,55500.0,256176.1022,80800,319000.0,344300,7200.0,0,0,10000,36000,0,2,0,1,44800,0,35,13,1,1,1,116800
18810,202.0,54045.591182,2,22000.0,21800,0.0,0,0,0,0,0,5,1,0,2,2,41,4,2,0,1,2
18815,574000.0,75663.827655,243000,376000.0,45000,0.0,0,1,0,0,0,4,0,1,70000,0,70,12,1,0,3,243000
18820,8800.0,37831.913828,640,42000.0,33840,0.0,0,0,0,0,0,2,0,0,640,2,62,5,1,0,3,640
18825,11453500.0,704754.50902,3725000,7728500.0,0,2543750.0,0,1,5150000,2555000,0,1,0,1,360000,3,59,13,1,0,2,6280000
18830,2630.0,18375.501002,2630,0.0,0,0.0,0,0,0,0,0,4,0,0,630,2,42,1,2,0,1,2630
18835,44969700.0,1698112.4749,22234700,22735000.0,0,8560000.0,5880000,1,0,2680000,0,2,0,1,320700,3,74,13,1,1,1,24914700
18840,3019210.0,438850.2004,610710,2726500.0,318000,289750.0,0,1,1840000,455000,0,2,1,1,155710,1,41,12,1,2,1,1065710
